Gene	POOL:09-1664-01A:61-2094-01A:25-1312-01A	POOL:13-1409-01A:24-1416-01A:29-1769-01A	POOL:13-1489-01A:13-1482-01A:13-1504-01A	POOL:13-1492-01A:36-2530-01A:25-2409-01A	POOL:13-1497-01A:OVARIAN-CONTROL.1:61-1995-01A	POOL:13-2065-01A:61-1918-01A:61-2613-01A	POOL:23-1122-01A:24-1464-01A:25-1322-01A	POOL:24-1103-01A:24-2289-01A:13-1511-01A	POOL:24-1431-01A:36-1570-01A:13-1488-01A	POOL:24-1435-01A:30-1887-01A:23-1121-01A	POOL:24-1436-01A:13-2061-01A:36-2537-01A	POOL:24-1474-01A:13-1501-01A:OVARIAN-CONTROL.2	POOL:24-1555-01A:24-1562-01A:25-1628-01A	POOL:24-1558-01A:29-1705-01A:OVARIAN-CONTROL.3	POOL:24-1920-01A:30-1891-01A:61-2008-01A	POOL:24-1927-01A:OVARIAN-CONTROL.4:36-2544-01A	POOL:24-2024-01A:29-1693-01A:13-1485-01A	POOL:24-2030-01A:29-1702-01A:24-2033-01A	POOL:24-2298-01A:24-1544-01A:61-1914-01A	POOL:25-1313-01A:29-1766-01A:24-2261-01A	POOL:25-1318-01A:36-2532-01A:13-2059-01A	POOL:25-2399-01A:29-1698-01A:09-2056-01B	POOL:29-1688-01A:13-1494-01A:13-1507-01A	POOL:29-1690-01A:25-1631-01A:13-1500-01A	POOL:29-1696-01A:29-1771-01A:13-2066-01A	POOL:29-1711-01A:13-1483-01A:24-1422-01A	POOL:29-1763-01A:25-2397-01A:29-2427-01A	POOL:29-1785-01A:61-2088-01A:25-1623-01A	POOL:36-1577-01A:29-1768-01A:36-1569-01A	POOL:36-2534-01A:OVARIAN-CONTROL.5:36-2549-01A	POOL:36-2547-01A:36-1578-01A:36-2542-01A	POOL:59-2351-01A:24-2290-01A:59-2348-01A	POOL:59-2352-01A:61-1915-01A:24-1565-01A	POOL:59-2372-01A:24-1548-01A:29-1762-01A	POOL:61-1727-01A:25-1323-01A:36-1580-01A	POOL:61-1741-01A:61-1911-01A:13-1404-01A	POOL:61-1907-01A:25-1329-01A:24-1557-01A	POOL:61-1910-01A:29-1770-01A:13-1410-01A	POOL:61-2087-01A:29-2431-01A:61-1724-01A	POOL:OVARIAN-CONTROL.10:29-1710-01A:36-1571-01A	POOL:OVARIAN-CONTROL.6:24-1553-01A:13-1487-01A	POOL:OVARIAN-CONTROL.7:25-2396-01A:36-2545-01A	POOL:OVARIAN-CONTROL.8:25-2404-01A:24-1430-01A	POOL:OVARIAN-CONTROL.9:29-1697-01A:13-2060-01A
CSF1R			0.602	0.477			0.000					0.301								0.000			0.000										0.477								0.000		0.000		
CSF2RA	0.602	0.301	0.000		0.000	0.000			0.000	0.477		0.000								0.477	0.602		0.000			0.000	0.000	0.301			0.000				0.000		0.301	0.000		0.477				0.000	
CSPG4			0.477	0.699			0.000	0.301		0.602			0.778		0.602	0.301	0.477				0.301		0.301		0.000		0.000									0.000							0.000	0.301	
CSTB		0.000																0.477											0.000	0.000	0.477			0.000					0.477						
CTBS				0.000			0.000							0.000		0.477					0.477												0.301							0.301					
CTHRC1		0.477	0.699	0.301	0.301	0.301			0.477	0.477	0.778	0.477	0.477	0.477	0.301	0.477	0.301		0.000	0.845		0.301	0.477	0.699	0.477	0.903		0.477	0.778	0.000			0.477	0.477	0.301			0.699			0.000	0.477	0.000	0.477	
CTSA	0.301	0.778	1.114	1.279	0.699	1.000	1.230	1.322	1.176	1.322	1.114	1.342	1.146	0.954	1.079	0.845	1.255	0.954	0.602	1.342	0.699	0.000	1.301	1.301	1.114	1.146	1.279	0.301	0.903	0.903	1.176	0.699	1.204	1.176	0.903	0.477	0.699	0.903	0.602	1.362	1.322	1.041	1.255	1.230	
CTSB	1.000	0.699	1.431	0.845	0.699	0.699	1.431	1.447	0.778	1.380	1.114	1.362	0.778	1.447	0.845	1.556	1.322	0.699	0.477	0.954	1.204	0.477	1.176	0.778	1.176	1.176	0.699	0.000	0.301	1.000	0.845		1.041	1.380	0.602	0.778	0.778	0.477	0.301	1.255	1.398	1.279	1.000	1.398	
CTSC	0.954	0.954	1.079	1.398	0.903	1.301	1.342	1.279	1.114	1.204	1.146	1.204	1.204	1.079	1.146	1.114	1.230	1.146	0.845	1.301	1.230	0.903	1.204	1.146	1.041	1.114	1.362	0.954	1.230	0.954	1.041	0.845	1.146	1.146	1.041	1.114	1.000	1.000	0.477	1.204	1.431	1.079	1.279	1.342	
CTSD	1.301	1.362	1.322	1.653	1.342	1.362	1.556	1.672	1.415	1.398	1.415	1.491	1.544	1.519	1.447	1.462	1.580	1.176	1.362	1.462	1.531	1.415	1.531	1.322	1.568	1.362	1.519	1.204	1.279	1.279	1.431	1.362	1.643	1.447	1.342	1.301	1.431	1.322	1.230	1.431	1.602	1.322	1.447	1.556	
CTSF		0.477	0.602	1.255	0.000	0.477	0.602	0.602	0.778	0.778	1.000	0.954	0.301	0.699	0.301	0.845	0.778			0.845	0.699	0.301	0.903	0.301	0.602	0.301	0.602		0.301	0.699	0.000	0.000	1.079	0.699	0.301	0.000	0.301	0.477	0.301	0.602	0.954	0.301	0.477	0.602	
CXADR	0.602	0.477	0.602	0.845	0.602	0.477	0.778	0.778	0.477	0.699	0.602	0.778	0.778	0.778	0.602	0.845	0.845	0.845	0.845	0.477	0.954		0.954	0.477	0.778	0.301	0.845	0.000	0.477	0.301	0.845		0.477	0.845	0.477	0.477	0.699		0.477	0.778	0.845	0.477	0.699	0.602	
CYBB	1.204	0.954	1.279	1.146	1.255	1.041	1.204	1.146	1.230	1.322	1.255	1.000	1.204	1.079	1.114	1.114	1.041	0.845	1.000	1.301	1.041	0.477	1.380	1.176	0.954	1.114	1.279	1.176	1.146	0.954	1.146	1.041	1.176	1.230	1.176	1.114	1.114	1.041	0.845	1.279	1.146	1.041	0.954	1.230	
CYCS	0.000	0.301			0.301													0.301			0.000	0.477								0.477	0.477	0.000		0.301		0.477	0.602	0.477	0.301				0.602	0.000	
DAG1	0.699	0.845	0.903	1.041	0.699	0.000	0.903	1.176	0.903	0.699	0.845	1.114	0.699	0.602	0.845	0.903	1.114	0.602	0.699	0.699	0.602	0.699	0.845	0.845	0.699	0.699	0.903	0.477	0.845	0.602	0.602	0.477	0.602	0.845	0.477	0.699	0.699	0.903	0.845	0.903	1.114	0.778	1.000	1.000	
DCN	1.602	1.643	1.851	1.959	1.531	2.164	2.246	2.100	2.100	1.929	1.857	2.152	1.940	1.996	1.959	2.029	2.193	1.431	1.556	2.130	1.792	1.447	2.124	2.068	2.017	1.857	2.025	1.708	2.107	1.477	1.415	1.342	1.991	1.672	1.681	1.447	1.602	1.653	1.591	1.903	2.225	2.167	2.140	1.924	
DDX39B	0.477	0.699			0.699	0.000					0.477			0.602		0.477		0.903	0.477	0.301	0.477	0.699	0.000		0.477	0.477		0.477		0.699	0.602	0.477	0.477	0.699	0.477	0.699	0.845	0.602	0.845	0.000		0.000	0.602	0.477	
DEFA1											0.000											0.301							0.778																
DHX9		0.000			0.301																										0.000			0.000		0.000							0.301		
DNASE2	0.602	0.477	0.845	1.230	0.477	0.699	0.301	1.041	0.477	1.114	1.000	0.954	0.602	0.778	0.778	1.000	0.954			0.477	0.699	0.000	0.903	0.000	0.602	0.699	0.954	0.477		0.477	0.602		1.000	1.000		0.477	0.301			0.778	0.699	0.903		0.778	
DPEP1	0.699	0.000					0.602		0.000	0.000	0.477		0.903		0.778								0.954				0.000						0.602	0.477		0.778		0.000		0.301			0.602		
DPEP3	0.954	0.845	0.778		0.477		0.301	0.301	0.699	0.000	0.778	0.000	0.778	0.000	0.000	0.000	0.477	0.477	0.477			0.477	0.699							0.477		0.602		0.477	0.699	0.602	0.477	0.477		0.602	0.699			0.477	
DPP4		0.301	0.477	0.602	0.477	0.477	0.477	0.602	0.477	0.477	0.477		0.477	0.477	0.301	0.477	0.477	0.000	0.699	0.477	0.602		0.477	0.845	0.477	0.301	0.477		0.477	0.477	0.477		0.699	0.477	0.477		0.000	0.301		0.477	0.301	0.477	0.778	0.477	
DPP6	0.301	0.699													0.778	0.602											0.301		0.000	0.000					0.000			0.301							
DPP7	0.477	0.602	1.000	1.362	0.845	0.778	1.079	1.255	0.954	1.079	0.954	1.230	0.778	1.041	0.954	1.114	1.255	0.699	0.778	1.176	1.041	0.301	1.114	0.903	1.079	0.699	1.301	1.000	0.699	0.845	0.602	0.477	1.079	1.255	0.903	0.903	1.000	0.903	0.778	0.954	1.301	0.845	0.954	1.114	
DPY19L4	0.602	0.301	0.477	0.477		0.301	0.477	0.301	0.477	0.477	0.477				0.477	0.000	0.602	0.301		0.602	0.000			0.477	0.301		0.301			0.477	0.477			0.000	0.301		0.301	0.000		0.477	0.000	0.000		0.477	
DSC2	1.255	1.301	1.279	1.322	1.176	1.279	1.362	1.230	1.255	1.301	1.176	1.230	1.322	1.398	1.380	1.322	1.255	1.301	1.322	1.301	1.322	1.041	1.342	1.204	1.204	1.041	1.462	1.279	1.255	1.255	1.322	1.176	1.301	1.398	1.079	1.342	1.342	1.114	1.041	1.362	1.431	0.903	1.204	1.415	
DSC3					0.602					0.477		0.301		0.778		0.602		0.000			0.602				0.477		0.845							0.477		0.000	0.699		0.477					0.778	
DSG2	1.255	1.279	1.505	1.491	1.415	1.398	1.362	1.519	1.556	1.279	1.556	1.447	1.415	1.431	1.531	1.415	1.447	1.602	1.230	1.613	1.591	1.204	1.477	1.591	1.519	1.342	1.491	1.462	1.230	1.380	1.415	1.204	1.643	1.398	1.079	1.462	1.362	1.322	1.279	1.279	1.633	1.322	1.342	1.415	
ECE1	1.447	1.398	1.230	1.568	1.279	1.176	1.301	1.447	1.380	1.415	1.255	1.301	1.505	1.398	1.322	1.415	1.204	1.342	1.380	1.380	1.462	1.114	1.301	1.279	1.176	1.146	1.322	1.322	1.000	1.176	1.279	1.279	1.176	1.255	1.255	1.380	1.342	1.279	1.000	1.342	1.301	1.114	1.301	1.322	
ECM2	0.301	0.602	0.301		0.000				0.477	0.000	0.301	0.301			0.477	0.000			0.845	0.778	0.477		0.000	0.000	0.000		0.000		0.477			0.000	0.477		0.477	0.301				0.000			0.602		
EDEM3	0.903	0.778	0.778	0.778	0.778	0.699	0.778	0.699	0.778	0.778	0.699	0.845	0.699	0.699	0.699	0.602	0.699	0.699	0.778	0.954	0.778		0.778	0.778	0.778	0.699	0.778	0.845	0.778	0.778	0.778	0.477	0.602	0.477	0.778	0.778	0.845	0.778	0.301	0.778	0.477	0.778	0.778	0.845	
EEF1A1	1.204	1.255	0.903	1.000	1.301	1.415	1.230	1.041	1.079	0.778	1.000	1.114	0.301	0.699	1.114	0.954	1.176	1.491	1.176	1.176	0.903	1.342	1.114	0.602	0.903	0.903	1.279	1.230	1.380	1.362	1.398	1.204	1.000	1.204	1.204	1.362	1.279	1.301	1.255	1.415	1.230	0.845	1.491	1.591	
EEF2					0.778	0.602												0.000				0.477									0.000			0.778		0.301		0.477		0.000			0.602	0.301	
EFCAB14				0.301	0.000		0.477	0.477	0.000	0.477			0.477		0.000		0.000																	0.000		0.000	0.000			0.000					
EFNB1				0.301				0.000		0.602						0.301							0.000	0.301			0.000							0.699			0.477								
EFNB2	0.000		0.477							0.477		0.000	0.477	0.301	0.000	0.000	0.778	0.301			0.301				0.602	0.000	0.602			0.000				0.477						0.477				0.301	
EGFR	0.301	0.301	0.699	0.477		0.477		0.699	0.477	0.301	0.301	0.602	0.000	0.477	0.000	0.477	0.778	0.301		0.699	0.477	0.477	0.477	0.477	0.301	0.477			0.477	0.477		0.301	0.477					0.000	0.000	0.477	0.778	0.000	0.477		
EIF4A1					0.301																	0.477														0.477	0.000		0.000				0.845		
EIF5A		0.000	0.000		0.301	0.301												0.000				0.301									0.477			0.477		0.000		0.000	0.477				0.301	0.301	
ELANE	0.778	0.301	0.954	0.845	0.602	0.778	0.903	0.954	0.903		0.954	0.845	0.301	0.301	0.778	0.845	0.903		0.778	0.699	0.477	0.699	0.602	0.954	0.954	0.699		0.699	0.903	0.000	0.778	0.845	0.778		0.778	0.301	0.000	0.301	0.000	0.301	0.477	0.903	0.000	0.000	
EMID1	0.301	0.000		0.477			0.477			0.699	0.477				0.477				0.699		0.000						0.301			0.477				0.778		0.301	0.477	0.301						0.000	
EMILIN1	1.279	1.447	1.580	1.580	1.301	1.519	1.591	1.505	1.672	1.643	1.556	1.672	1.602	1.491	1.708	1.462	1.556	1.431	1.176	1.663	1.362	1.146	1.531	1.732	1.690	1.568	1.491	1.041	1.531	1.204	1.301	0.845	1.663	1.301	1.415	1.398	1.380	1.362	1.000	1.491	1.839	1.531	1.633	1.477	
EMILIN2	0.602		0.699	1.041	0.699	1.000	0.778	0.778	0.954	0.301	0.778	0.845	0.845	0.778	0.301	0.778	0.602	0.301	0.301	0.903	0.301		1.000	1.000	0.845	0.602	1.000	0.000	0.602		0.301		0.954	0.602	0.778	0.477	0.602	0.477	0.602	0.301	0.845	0.903	0.845	0.845	
ENO1	1.362	1.613	0.000	0.845	1.505	1.431	1.204	1.230	0.778		0.477	0.778	0.301		1.041	0.602	0.301	1.613	1.301	0.954	0.845	1.491	1.000	0.000	0.000	0.000	0.602	1.146	1.623	1.415	1.663	0.954	0.477	1.431	0.903	1.477	1.462	1.477	1.633	1.462	1.342	0.000	1.653	1.602	
ENPEP			1.000	0.845			0.000	0.477	0.954	0.699	0.000	0.477	0.778	0.699	0.301	0.903	0.477			0.699			0.903	0.477	0.845	0.699							0.301						0.000		0.602	0.778	0.602	0.602	
ENPP1	0.301	0.477	0.778	0.699	0.000	0.477	0.778	0.954	0.699	1.041	0.477	1.114	0.778	0.954	0.954	0.845	0.954	0.477	0.477	0.845	0.699	0.000	0.778	0.954	0.778	0.778	0.699	0.699	0.699	0.477		0.000	0.778	0.477	0.477	0.778	0.477	0.477	0.699	0.699	0.903	0.903	0.903	0.699	
ENPP4	0.477		0.477	0.903	0.000			0.301			0.301			0.602	0.000	0.602	0.000	0.301		0.778	0.602			0.699	0.301						0.477		0.477	0.699						0.000	0.477	0.000		0.000	
ENPP5			0.602	0.845				1.079					0.000	0.301			0.477			0.000	0.301		0.477				0.477				0.000		0.000	0.000						0.301	0.000			0.602	
ENTPD1	1.000	0.845	1.041	1.114	0.903	1.000	0.903	1.000	0.778	0.845	0.477	1.000	1.176	0.954	0.903	1.079	1.146	0.845	0.903	0.845	0.954	1.041	1.176	0.778	0.602	0.301	0.903	0.954	0.845	1.000	0.903	0.954	0.778	0.778	0.954	0.903	0.778	0.954	0.699	1.000	0.903	0.699	0.699	0.845	
ENTPD2				1.079				0.699			0.301		0.301				0.000	0.000			0.301							0.301						0.602			0.000								
ENTPD3				0.000				0.778									0.477			0.000	0.000		0.301	0.477																					
EPCAM		0.477	1.114	1.415	0.477	0.699	1.255	1.447	0.778	1.000	1.041	1.041	0.602	1.176	0.301	1.000	1.146	0.778	0.477	1.342	0.602		1.114	0.699	0.699	0.301	1.079	1.000	0.477	0.000	1.000	0.477	1.114	0.778		0.000	0.903	0.000		1.176	1.000	0.699	0.699	1.041	
EPHA1					0.301	0.000						0.000																						0.301										0.602	
EPHB2	0.000	0.301		0.477		0.477	0.477	0.477		0.602		0.477	0.778	0.602	0.000	0.477	0.000	0.699		0.477	0.602	0.000	0.477	0.000		0.301	0.477	0.477		0.301					0.000	0.477	0.477					0.000	0.301	0.477	
EPHB3			0.000	1.000		0.301	0.000						0.000		0.301		0.602			0.903							0.000							0.000		0.301	0.301	0.000			0.301			0.000	
EPPK1		0.602																0.301													0.602												0.602		
ERAP1	0.000		0.301	1.204	0.000	0.845	0.602	1.079	0.602	0.845	0.000	0.602	0.301		0.477		0.602		0.000	0.954	0.301		1.342	0.903			0.477	0.602	0.301		0.000		0.477	0.903	0.477	0.477	0.000	0.602	0.477	0.477	0.602		0.778	1.114	
ERAP2	1.380	1.322	1.322	1.398	1.398	1.380	1.398	1.462	1.544	1.462	0.845	1.505	1.447	1.431	1.531	1.519	1.531	1.146	1.230	1.531	1.580	1.255	1.380	1.079	1.146	1.362	1.279	1.176	1.079	1.415	1.380	1.204	1.079	1.301	1.415	1.322	1.322	1.279	1.204	1.431	1.519	1.431	1.431	1.505	
ERBB3	0.000	0.699	0.602	0.845	0.699	0.602	1.041	1.000		1.000	0.699	0.903	0.778	1.000	0.477	1.000	0.903	0.699	0.903	0.699	1.146	0.477	0.954	0.301	0.778	1.000		0.602		0.903	1.114	0.301	1.000	1.000		0.699	0.845	0.602	0.477	0.778	0.954	0.699	0.000	1.114	
ERBB4		0.000	0.301		0.301		0.301		0.301	0.000			0.000	0.000		0.301	0.301	0.000		0.602	0.301		0.000				0.000	0.000		0.477	0.778			0.602	0.301	0.000		0.000	0.000	0.477	0.602			0.301	
ERLIN1	0.954	1.000	0.477	0.602	0.954	0.845	0.778	0.903	0.000	0.778	0.602	0.477	0.477	0.477	0.778	0.602	0.778	1.079	0.477	0.000	1.079	0.602	0.699	0.602	0.602	0.477	0.699	0.602	0.477	1.114	1.041	0.477	0.477	1.041	0.602	0.477	0.602	0.477	0.477	0.845	0.778	0.602		0.699	
ERMP1	0.000	0.602	0.000	1.230	0.000	0.903	0.903	1.322	1.041	0.602	0.699	1.041	0.903	0.845	1.079	0.845	1.000	0.845	0.477	1.114	0.903		1.114	0.954	0.778	0.477	1.146	0.699	0.477	0.477	0.301	0.301	0.602	0.903		0.845		0.699	0.000	0.778	1.204	0.602	0.903	0.903	
ERO1A	0.477	0.845	0.477	0.845	0.699	0.477	0.477	0.903	0.602	0.778	0.602	0.477	0.602	0.699	0.477	0.477	0.602	0.954	0.602	0.477	1.000	0.602	0.477	0.477	0.602	0.602	0.477	0.477	0.477	0.602	1.114	0.477	0.477	0.477	0.602	0.699	0.699	0.778	0.602	0.477	0.778	0.602	0.477	0.699	
ERV3-1				0.000	0.000			0.301		0.301		0.602						0.477					0.301					0.000			0.477			0.301		0.301	0.477							0.301	
EXT1										0.477		0.301																									0.000								
F10																										0.301		0.301						0.000											
F11	0.699	0.000	0.699		0.477	0.477	0.477		0.903	0.477	0.602		0.477	0.301	0.845	0.000		0.602	0.699	0.602	0.477	0.477		0.602	0.602	0.477	0.301		0.477	0.301	0.301	0.602	0.477		0.845	0.477	0.602	0.000	0.477	0.301		0.477	0.602	0.477	
F11R				0.301	0.301			0.000		0.477		0.301	0.301			0.000	0.000	0.778					0.699											0.477		0.000		0.301		0.000	0.000				
F12	0.477	0.477	0.000		0.301		0.477			0.477	0.602	0.602		0.477		0.602	0.602	0.477	0.477		0.477			0.301	0.699				0.301	0.477			0.477	0.699	0.602		0.000	0.602	0.000	0.477	0.477	0.000	0.602	0.477	
F2	1.079	0.954	1.380	1.204	1.176	1.255	1.398	1.477	1.415	1.204	1.491	1.591	1.505	1.230	1.477	1.279	1.613	1.255	1.544	1.342	1.301	0.903	1.362	1.544	1.301	1.176	1.255	1.000	1.643	1.114	1.255	0.778	1.114	1.591	1.204	1.041	1.415	1.041	1.079	1.362	1.380	1.301	1.380	1.322	
F3	0.477	0.301	0.477	0.778	0.301	0.477	0.602	0.699	0.602	0.602	0.477	0.301	0.477	0.477	0.845	0.778	0.000	0.477	0.602	0.301	0.903	0.477	0.699	0.602	0.477	0.301	0.477	0.477	0.602	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.778	0.602	0.301	0.477	0.000	0.301	0.477	0.477	
F5			0.000	0.000				0.000	0.301	0.301	0.301		0.000			0.778													0.602											0.301		0.477			
FAM234A				0.845				0.477	0.301		0.301			0.000			0.477			0.477			0.301	0.301	0.000					0.000	0.477		0.000	0.477				0.000	0.602				0.602	0.301	
FAP	1.000	1.114	1.477	1.322	1.322	1.322	1.415	1.477	1.322	1.591	1.041	1.477	1.491	1.580	1.431	1.505	1.531	1.322	1.079	1.322	1.230	1.230	1.431	1.362	0.602	1.491	1.255	1.301	1.279	1.255	1.204	1.000	0.845	1.114	1.322	1.431	1.204	1.398	1.041	1.544	1.491	1.398	1.398	1.462	
FAT1	0.301	0.477	0.301	1.079	0.301	0.477	0.602	0.903	0.000	0.477		0.477	0.602	0.477	0.477	1.079	1.079	0.477	0.477	0.602	0.301		1.204	0.301		0.301	0.699	0.000	0.477	0.602	0.477	0.000		0.477	0.000	0.845	0.301	0.477		0.477	0.477		0.477	0.845	
FAT2	0.477	0.602	0.000	1.000	0.301	0.301	0.602	0.602	0.000			0.000				0.000	0.778	0.301	0.301		0.477	0.477	1.041				1.176					0.000	0.000					0.699		0.000				0.301	
FBLN1			0.301				0.778	0.778		0.845		0.903					0.699									0.301											0.602	0.301		0.000	0.477		0.699	0.778	
FBLN2	0.301	0.477	0.699	0.477	0.477		0.699	0.845	0.000	0.845	0.000	0.954	0.699	0.845		0.778	0.903	0.477	0.602	0.000	0.477	0.477	0.602	0.602	0.477	0.477	0.301	0.477	0.477	0.699	0.477	0.301		0.699	0.477	0.477	0.477	0.477	0.301	0.778	0.778	0.602	0.602	0.778	
FBN1	1.580	1.785	1.763	1.568	1.623	1.908	2.009	1.892	1.785	1.892	1.531	1.968	1.699	1.924	1.732	1.792	1.863	1.462	1.491	1.724	1.748	1.342	1.544	1.851	1.763	1.556	1.681	1.716	1.826	1.653	1.544	1.279	1.724	1.806	1.724	1.690	1.613	1.663	1.447	1.833	1.978	1.833	1.886	1.820	
FBN2	0.699	0.699	0.778	1.322	0.903	0.845	0.954	1.041	0.602	1.255	0.477	1.255	0.602	0.602	0.903	0.477	1.176	0.778	1.000	0.699	0.778	0.602	0.477	0.699	0.778	0.477	0.778	0.699	0.602	0.845	0.778	0.699	0.477	1.415	1.041	0.903	0.778	0.778	0.699	0.845	1.230	0.602	0.778	0.954	
FBN3	0.477	0.699	0.699	0.699	0.778	0.602	0.602	1.041	0.602	0.845	0.477	1.255	0.602	0.699	0.699	0.477	1.176	0.477	0.903	0.477	0.845	0.477	0.477	0.477	0.477	0.477	0.477	0.699	0.602	0.477	0.477	0.477	0.477	1.000	0.845	0.699	0.602	0.477	0.778	0.778	1.255	0.602	0.477	0.778	
FCGBP	1.176	0.778	1.342	1.362	1.230	1.322	1.114	1.176	1.041	1.146	0.778	1.447	1.204	1.279	1.415	1.230	1.462	1.176	0.903	1.114	1.279	0.903	1.362	1.322	0.778	0.954	1.230	1.204	0.903	1.204	1.000	0.602	1.519	0.778	0.954	1.079	1.342	0.903	0.477	1.301	1.398	0.845	1.230	1.255	
FCGR1A	0.845	0.954	0.903	0.954	1.079	0.903	1.000	0.845	0.903	1.041	0.954	0.954	1.000	1.000	0.954	1.000	0.845	0.903	0.778	1.079	1.000	0.954	1.176	0.845	0.602	0.778	1.041	1.079	0.778	0.903	0.477	0.778	0.778	0.699	1.041	1.000	0.954	0.903	0.477	1.000	0.845	0.699	0.778	1.041	
FCGR2B							0.301																0.301					0.301																	
FGA			0.301	0.954	1.146	1.342	0.602	1.176	0.699	0.301	0.778	1.176	0.778	0.699	0.602	1.255		1.556		0.301	0.477	1.146	1.176	0.845	0.477	0.602	0.000	0.602	1.959		1.176	0.477		1.342	0.903	0.602	1.732	1.000	0.778	0.602	0.301	1.204	1.362		
FGB	1.041	0.954	0.477	1.255	1.146	1.380	1.255	1.556	1.204	1.230	1.000	1.380	1.176	1.079	1.114	1.176	1.204	1.342	0.954	1.230	0.954	1.230	1.279	1.114	0.845	0.845	0.845	0.477	1.929	0.699	1.000	0.954	0.778	1.230	1.176	1.079	1.580	0.845	0.301	1.146	1.000	1.146	1.477	1.204	
FGFR1			0.000	0.602	0.000		0.301	0.301		1.041	0.000	0.000	0.000				0.699	0.477		0.000			0.301				0.301					0.301		0.477			0.000								
FGFRL1	0.477	0.477	0.602	0.778	0.301	0.000	0.699	0.602	0.602	0.954	0.778	0.602	0.778	0.903	0.903	0.778	0.778	0.477	0.477	0.477	0.301		0.778	0.699	0.602		0.699	0.000		0.477	0.301		0.477	0.699	0.301	0.301		0.699	0.301		0.301	0.477		0.477	
FGG	1.041	1.146	1.230	1.919	1.431	1.934	1.580	2.049	1.778	1.556	1.505	2.009	1.505	1.771	1.690	1.940	1.845	1.724	1.255	1.633	1.763	1.531	1.929	1.681	1.415	1.505	1.740	1.301	2.236	1.079	1.491	1.041	1.176	1.663	1.633	1.204	1.690	1.415	1.519	1.477	1.806	1.556	1.813	1.653	
FGL2	1.342	1.114	1.114	1.204	1.255	1.230	1.380	1.322	1.380	1.415	1.079	1.322	1.322	1.415	1.230	1.415	1.146	1.114	1.079	1.362	1.415	0.903	1.398	1.204	1.176	1.000	1.230	1.342	1.176	1.415	1.146	1.176	1.079	1.146	1.255	1.322	1.146	1.255	1.000	1.204	1.531	1.176	1.230	1.255	
FKBP10	1.820	1.892	1.944	1.944	1.857	1.875	1.886	2.000	1.857	2.127	1.806	2.004	1.996	2.029	1.886	1.991	2.053	2.009	1.633	1.863	1.886	1.653	1.934	1.826	1.699	1.857	1.763	1.748	1.740	1.851	1.826	1.531	1.763	2.179	1.892	1.785	1.792	1.881	1.633	1.991	2.009	1.845	1.929	1.964	
FKBP1A	0.301	0.000			0.301																	0.301						0.000		0.000	0.477			0.477	0.000	0.000	0.602	0.477					0.477	0.000	
FKBP9	1.505	1.699	1.505	1.732	1.643	1.568	1.544	1.653	1.505	1.826	1.255	1.633	1.623	1.633	1.447	1.556	1.778	1.672	1.568	1.447	1.591	1.462	1.724	1.301	1.279	1.279	1.568	1.544	1.255	1.602	1.568	1.342	1.255	1.763	1.531	1.602	1.544	1.699	1.146	1.556	1.699	1.322	1.491	1.519	
FLNA		0.602			0.602	1.041	0.477					0.301			0.477		0.000	0.845				0.845				0.000	0.000		1.431	0.845	1.000	0.000		1.000	0.301	0.602	0.477	1.114	1.204	0.602		0.000	1.491	0.699	
FLT1	0.477	0.477	0.699	0.954	0.477	0.477	0.477	0.954	0.699	1.079	0.778	0.954	0.477	0.602	0.602	0.602	0.778	0.477	0.477	0.000	0.778	0.602	1.114	0.602	0.778	0.477	1.000	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.602	0.699	0.778	0.477	0.477	0.301	0.699	0.000	0.477	
FMOD	1.176	1.230	1.230	1.279	0.778	1.322	1.519	1.322	1.342	1.556	1.301	1.230	1.380	1.204	1.477	0.845	1.342	1.000	1.000	1.672	1.041	1.000	1.663	1.431	1.301	1.041	1.255	0.903	1.322	0.778	0.778	0.845	1.544	1.477	1.041	0.903	0.778	0.903	1.000	1.146	1.799	1.342	1.255	1.230	
FN1	1.813	2.090	2.332	2.117	1.991	2.104	2.220	2.292	2.520	2.423	2.204	2.428	2.193	2.348	2.140	2.303	2.400	2.143	1.919	2.461	2.004	2.017	2.299	2.394	1.954	2.477	1.964	2.143	2.438	2.041	1.886	1.663	1.908	2.068	2.053	2.158	1.991	2.164	1.968	2.243	2.468	2.299	2.612	2.307	
FOLH1	0.301	0.000		0.000	0.845		0.000	0.699	0.699	0.000	0.778						0.301		0.699	0.477		0.699	0.845			0.301		0.000		0.477	0.477	0.301	1.114	0.903	0.778	0.477		0.954	0.000	0.845		0.301		0.602	
FOLR1	1.041	1.041	1.146	1.255	1.230	1.000	1.146	1.362	0.845	1.477	1.204	1.255	1.146	1.519	1.079	1.146	1.462	0.903	1.079	0.954	1.491	0.845	0.778	1.000	1.041	1.079	1.079	0.903	0.602	0.845	1.204	1.000	1.000	0.954	1.041	1.146	1.000	1.301	0.954	1.531	1.380	1.176	0.845	1.176	
FOXRED2	0.000	0.778		0.000	0.778	0.000	0.602	0.778	0.477	0.477		0.000	0.000	0.301		0.477		0.778	0.699	0.602	0.477	0.000	0.477				0.000			0.301	0.699			0.845	0.778	0.699	0.778	0.778		0.000		0.000		0.000	
