Gene	POOL:09-1664-01A:61-2094-01A:25-1312-01A	POOL:13-1409-01A:24-1416-01A:29-1769-01A	POOL:13-1489-01A:13-1482-01A:13-1504-01A	POOL:13-1492-01A:36-2530-01A:25-2409-01A	POOL:13-1497-01A:OVARIAN-CONTROL.1:61-1995-01A	POOL:13-2065-01A:61-1918-01A:61-2613-01A	POOL:23-1122-01A:24-1464-01A:25-1322-01A	POOL:24-1103-01A:24-2289-01A:13-1511-01A	POOL:24-1431-01A:36-1570-01A:13-1488-01A	POOL:24-1435-01A:30-1887-01A:23-1121-01A	POOL:24-1436-01A:13-2061-01A:36-2537-01A	POOL:24-1474-01A:13-1501-01A:OVARIAN-CONTROL.2	POOL:24-1555-01A:24-1562-01A:25-1628-01A	POOL:24-1558-01A:29-1705-01A:OVARIAN-CONTROL.3	POOL:24-1920-01A:30-1891-01A:61-2008-01A	POOL:24-1927-01A:OVARIAN-CONTROL.4:36-2544-01A	POOL:24-2024-01A:29-1693-01A:13-1485-01A	POOL:24-2030-01A:29-1702-01A:24-2033-01A	POOL:24-2298-01A:24-1544-01A:61-1914-01A	POOL:25-1313-01A:29-1766-01A:24-2261-01A	POOL:25-1318-01A:36-2532-01A:13-2059-01A	POOL:25-2399-01A:29-1698-01A:09-2056-01B	POOL:29-1688-01A:13-1494-01A:13-1507-01A	POOL:29-1690-01A:25-1631-01A:13-1500-01A	POOL:29-1696-01A:29-1771-01A:13-2066-01A	POOL:29-1711-01A:13-1483-01A:24-1422-01A	POOL:29-1763-01A:25-2397-01A:29-2427-01A	POOL:29-1785-01A:61-2088-01A:25-1623-01A	POOL:36-1577-01A:29-1768-01A:36-1569-01A	POOL:36-2534-01A:OVARIAN-CONTROL.5:36-2549-01A	POOL:36-2547-01A:36-1578-01A:36-2542-01A	POOL:59-2351-01A:24-2290-01A:59-2348-01A	POOL:59-2352-01A:61-1915-01A:24-1565-01A	POOL:59-2372-01A:24-1548-01A:29-1762-01A	POOL:61-1727-01A:25-1323-01A:36-1580-01A	POOL:61-1741-01A:61-1911-01A:13-1404-01A	POOL:61-1907-01A:25-1329-01A:24-1557-01A	POOL:61-1910-01A:29-1770-01A:13-1410-01A	POOL:61-2087-01A:29-2431-01A:61-1724-01A	POOL:OVARIAN-CONTROL.10:29-1710-01A:36-1571-01A	POOL:OVARIAN-CONTROL.6:24-1553-01A:13-1487-01A	POOL:OVARIAN-CONTROL.7:25-2396-01A:36-2545-01A	POOL:OVARIAN-CONTROL.8:25-2404-01A:24-1430-01A	POOL:OVARIAN-CONTROL.9:29-1697-01A:13-2060-01A
POGLUT1	0.477	0.602	0.301	0.301	0.477	0.477	0.477	0.477	0.602	0.699	0.477	0.477	0.477	0.477	0.477	0.477	0.301	0.602	0.477	0.602	0.477	0.477	0.301	0.602	0.477	0.477	0.602	0.477	0.477	0.477	0.602	0.477	0.602	0.602	0.602	0.477	0.602	0.477	0.477	0.602	0.602	0.602	0.477	0.477	
POMGNT2		0.000	0.000	0.301	0.000	0.000		0.000	0.000			0.000		0.000		0.000	0.301	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000		0.000		0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000	
POMT2	0.000	0.301	0.000	0.000	0.301		0.000	0.301		0.301			0.000		0.301	0.000	0.301	0.301	0.000			0.000						0.000		0.301	0.301	0.000		0.000	0.000	0.000	0.301	0.000		0.000	0.000			0.000	
PON1	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.000	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.000	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	
PON2	0.301	0.301	0.000	0.477	0.301	0.301	0.301	0.477	0.301	0.477	0.301	0.301	0.301	0.301	0.301	0.301	0.477	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.000	0.000	0.477	0.477	0.000	0.301	0.602	
POSTN	0.000	0.000	0.000	0.000	0.000	0.477	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.477	0.000	0.000	0.000	0.000	0.000	0.000	0.477	0.000	0.000	0.301	0.000	0.000	0.000	0.477	0.000	
PPIA	0.477	0.477	0.000	0.000	0.602	0.477	0.301	0.000	0.000		0.000	0.000	0.301		0.301		0.000	0.477	0.477	0.301		0.699	0.000	0.000	0.000	0.000	0.301	0.301	0.301	0.477	0.477	0.301	0.000	0.477	0.000	0.602	0.602	0.699	0.301	0.477	0.000	0.000	0.699	0.477	
PPIB	0.301	0.301			0.301	0.301		0.000										0.000	0.000			0.301						0.000	0.301	0.301	0.301	0.000		0.477		0.301	0.301	0.301	0.301	0.301			0.602	0.301	
PPIC	0.000		0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.477	0.301	0.477	0.000	0.301	0.301	0.301	0.301	0.000		0.000	0.000		0.000		0.000	0.301	0.000		0.000		0.000		0.000	0.000	0.000	0.000		0.000		0.301	0.301	0.301	0.301	0.301	
PPT1	0.602	0.602	0.699	0.778	0.477	0.477	0.602	0.602	0.477	0.699	0.602	0.699	0.602	0.602	0.602	0.602	0.602	0.477	0.602	0.602	0.477	0.477	0.602	0.477	0.602	0.477	0.602	0.477	0.602	0.602	0.602	0.477	0.602	0.699	0.602	0.602	0.602	0.477	0.477	0.477	0.602	0.477	0.477	0.602	
PPT2		0.000	0.000	0.000					0.000		0.000			0.000		0.000					0.000				0.000	0.000										0.000						0.000	0.000		
PRCP	0.477	0.477	0.301	0.477	0.477	0.477	0.477	0.477	0.301	0.477	0.301	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.301	0.477	0.477	0.477	0.477	0.477	0.301	0.301	0.477	0.602	0.477	0.477	0.477	0.477	0.301	0.477	0.477	0.477	0.301	0.477	0.301	0.477	0.477	0.301	0.301	0.477	
PRDX1	0.477	0.000			0.699	0.699	0.000											0.602	0.000			0.699						0.301	0.699	0.602	0.699	0.477		0.778	0.000	0.477	0.602	0.477	0.602	0.301			0.778	0.000	
PRDX2	0.000	0.000		0.000	0.000	0.000			0.000									0.000	0.000			0.000							0.602		0.000			0.000		0.000	0.301		0.301				0.602	0.000	
PRDX3																						0.301									0.301			0.000		0.000		0.000	0.000						
PRDX5	0.000	0.301			0.301	0.301	0.000	0.000							0.000			0.301				0.301					0.000	0.000	0.301	0.477	0.000			0.000		0.477	0.301	0.000	0.477		0.000		0.477	0.000	
PRDX6		0.301			0.477	0.602	0.000								0.301			0.602				0.477					0.000	0.000	0.301	0.000	0.477			0.477		0.301	0.301	0.602		0.301			0.301	0.301	
PRELP	0.000	0.699	0.845	0.699	0.699	0.845	1.000	0.699	0.903	0.903	0.699	0.778	0.845	0.778	0.903	0.778	0.954	0.602	0.602	1.079	0.778	0.000	0.778	0.903	0.845	0.602	1.041	0.477	0.903	0.602	0.602		1.041	0.903	0.699	0.699	0.477	0.699	0.602	0.903	1.000	0.903	0.778	0.699	
PRKCSH						0.000		0.000		0.000	0.000			0.000																				0.301								0.000	0.000	0.000	
PROM1								0.301							0.000					0.000	0.301		0.301	0.000						0.000									0.000						
PROM2				0.477		0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.477	0.000	0.000	0.000	0.000	0.000	0.000			0.000	0.000		0.000			0.000	0.000	0.000	0.301	0.000	0.301	0.000	0.000	0.000	
PSAP	1.000	0.845	0.954	1.041	0.954	0.903	1.041	1.041	1.041	1.000	1.000	0.954	1.041	1.041	0.903	1.079	0.903	0.778	0.602	1.079	1.041	0.903	1.000	0.954	1.146	1.041	1.041	0.903	0.954	0.845	0.954	0.699	1.176	1.041	0.903	0.903	0.778	0.954	0.845	1.041	1.000	1.079	1.114	1.079	
PSME1		0.000			0.301	0.000												0.000											0.000	0.000	0.477			0.000		0.000	0.000						0.301		
PTBP1			0.000			0.301	0.000																0.000							0.000				0.000		0.000		0.000					0.000		
PTGDS	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.000	0.000	0.301	0.301	0.301	0.301	0.000	0.301	0.000	0.301	0.000	0.301	0.301	0.000	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.000	0.301	
PTGFRN	0.477	0.477	0.477	0.845	0.477	0.778	0.778	0.699	0.602	0.778	0.602	0.699	0.845	0.477	0.845	0.602	0.778	0.602	0.477	0.778	0.477	0.477	0.699	0.602	0.602	0.602	0.699	0.477	0.602	0.477	0.477	0.477	0.602	0.699	0.602	0.602	0.477	0.699	0.477	0.699	0.699	0.602	0.602	0.845	
PTGS1	0.000	0.477	0.000	0.477	0.301	0.301	0.301	0.301	0.301	0.477	0.301	0.301	0.477	0.301	0.301		0.301	0.602	0.477	0.301	0.000		0.301	0.301	0.301	0.301	0.477	0.477	0.301	0.477	0.602	0.000	0.301	0.301	0.477	0.602	0.301	0.000	0.000	0.477	0.301	0.301	0.301	0.477	
PTK7	0.845	0.845	0.903	0.903	0.845	0.845	0.845	0.845	0.845	0.845	0.954	0.845	0.845	0.903	0.845	0.954	0.954	0.845	0.845	0.954	0.845	0.778	0.778	0.845	0.845	0.845	0.845	0.845	0.778	0.845	0.845	0.778	0.903	0.903	0.845	0.845	0.903	0.903	0.778	0.845	0.845	0.845	0.845	0.903	
PTMA		0.000			0.477	0.301					0.000							0.477	0.000	0.000		0.477					0.000	0.000	0.301	0.301	0.477		0.000	0.301		0.477	0.477	0.477	0.000	0.301	0.000	0.000	0.477	0.000	
PTPRC	0.699	0.699	0.602	0.699	0.778	0.602	0.699	0.699	0.602	0.699	0.602	0.699	0.699	0.699	0.602	0.699	0.602	0.699	0.602	0.477	0.602	0.602	0.699	0.699	0.477	0.699	0.699	0.778	0.602	0.699	0.699	0.602	0.477	0.699	0.699	0.699	0.699	0.699	0.477	0.699	0.699	0.602	0.602	0.699	
PTPRF	0.000	0.301	0.301	0.477	0.477	0.477	0.477	0.477	0.000	0.477	0.477	0.477	0.301	0.477	0.477	0.477	0.477	0.477	0.477	0.301	0.301	0.000	0.477	0.301	0.000	0.301	0.477	0.000	0.301	0.000	0.477	0.000	0.477	0.301	0.301	0.477	0.477	0.477	0.000	0.301	0.477	0.000	0.000	0.477	
PTPRG	0.000	0.000	0.000	0.000	0.000	0.301	0.301	0.000	0.000	0.301	0.000	0.000	0.301	0.301	0.000	0.301	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000	0.301	0.000	0.000	0.301	0.000	0.000	0.301	0.000	0.000	0.301	0.000	0.000	0.000	0.301	
PTPRJ	0.602	0.000	0.477	0.845	0.602	0.477	0.602	0.845	0.699	0.602	0.602	0.602	0.301	0.477	0.602	0.602	0.477		0.000	0.477	0.477	0.301	0.699	0.602	0.000	0.301	0.602	0.602	0.000	0.477	0.602	0.301	0.000	0.301	0.301	0.301	0.699	0.301	0.000	0.477	0.699	0.000	0.477	0.778	
PTPRK	0.477	0.301	0.602	0.699	0.000	0.301	0.477	0.602	0.477	0.477	0.602	0.602	0.477	0.477	0.602	0.602	0.602	0.301	0.477	0.602	0.477		0.602	0.699	0.301	0.602	0.301	0.000		0.477	0.301	0.301	0.602	0.301	0.000	0.477	0.602	0.000	0.000	0.301	0.602	0.477	0.301	0.477	
PTPRM								0.477					0.477				0.301							0.000							0.477		0.000												
PTPRS	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	
PTPRU			0.000	0.477		0.000	0.477	0.301	0.000	0.000	0.000			0.000	0.301		0.301			0.000				0.000	0.000	0.000	0.301						0.000	0.000		0.000	0.000			0.000	0.000				
PVR	0.000		0.000		0.000				0.000	0.000	0.000		0.000	0.000		0.000	0.000			0.000	0.000			0.000	0.000	0.000					0.000	0.000		0.000		0.301	0.301			0.000		0.000	0.000	0.000	
PXDN	0.301	0.477	0.477	0.301	0.301	0.301	0.477	0.477	0.477	0.477	0.301	0.602	0.477	0.699	0.477	0.699	0.301	0.602	0.301	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.477	0.477	0.301	0.301	0.301	0.000	0.477	0.477	0.301	0.477	0.301	
PXYLP1			0.000	0.000	0.000		0.000			0.000				0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000			0.000					0.000		0.000	0.000		0.301	0.301	0.000	0.000	0.000	0.000			0.000	
PZP						0.000			0.000				0.000												0.301		0.000							0.000	0.000		0.000			0.000			0.000	0.000	
QPCT			0.000	0.000			0.000		0.000	0.000	0.301	0.000		0.000	0.000	0.301	0.000		0.301	0.301		0.000	0.000	0.301	0.301	0.000					0.000			0.301			0.000	0.000			0.000	0.000	0.000		
QSOX2				0.000			0.000	0.000	0.000	0.000		0.000			0.000					0.000				0.000										0.000		0.000			0.000	0.000				0.301	
RAN		0.301			0.301	0.301	0.000								0.000			0.301				0.301					0.000				0.000			0.000		0.000	0.000	0.000	0.301				0.000	0.000	
RARRES1		0.000									0.301	0.000		0.000	0.000	0.000											0.301									0.301	0.000	0.000		0.301					
RCN1	0.000	0.000	0.000	0.477	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.477	0.301	0.301	0.000	0.000	0.301	0.477	0.000	0.477	0.301	0.301	0.000	0.000	0.477	0.000	0.000	0.301	0.000	0.000	0.477	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	
RCN3	0.301	0.301	0.477	0.301	0.301	0.477	0.477	0.301	0.477	0.477	0.477	0.301	0.477	0.477	0.301	0.477	0.477	0.477	0.301	0.301	0.301	0.301	0.602	0.477	0.477	0.602	0.301	0.477	0.301	0.301	0.301	0.000	0.301	0.602	0.301	0.301	0.301	0.301	0.301	0.477	0.301	0.477	0.301	0.301	
RNASE6				0.000			0.301	0.000						0.000		0.000					0.000												0.000							0.000	0.000			0.000	
RNF13		0.000		0.000			0.000		0.000								0.000			0.000				0.000			0.000						0.000								0.000				
RPL13						0.000												0.000				0.000									0.000						0.000						0.301		
RPL14		0.000			0.301									0.000				0.000				0.000								0.477	0.301					0.301	0.000	0.000					0.000		
RPL15		0.000			0.000	0.000					0.000							0.000																0.000		0.000		0.000	0.000					0.000	
RPL18								0.000		0.000	0.000		0.000			0.000		0.000				0.000	0.000			0.000							0.000	0.000		0.000						0.000	0.000		
RPL23					0.301																	0.000									0.000					0.000			0.000				0.301		
RPL31	0.000	0.000			0.000	0.301												0.000				0.000							0.301		0.000			0.000		0.301	0.000			0.000			0.301	0.000	
RPL5		0.000		0.000	0.000							0.000							0.000		0.000	0.477						0.000		0.301	0.000	0.000		0.000		0.301		0.000					0.000		
RPL6						0.000							0.000					0.477					0.000								0.000					0.000	0.000						0.301		
RPL8					0.000																	0.000												0.301		0.000							0.301		
RPLP2																						0.477												0.000			0.000		0.000				0.301		
RPN1	0.477	0.477	0.602	0.778	0.301	0.699	0.602	0.778	0.778	0.602	0.699	0.699	0.602	0.602	0.602	0.602	0.699	0.602	0.477	0.845	0.602	0.000	0.699	0.699	0.602	0.699	0.602	0.301	0.602	0.301	0.301	0.301	0.602	0.845	0.602	0.477	0.477	0.602	0.477	0.477	0.699	0.602	0.699	0.699	
RPN2	0.000	0.477	0.301	0.477	0.301	0.301	0.477	0.477	0.301	0.477	0.301	0.301	0.301	0.477	0.301	0.477	0.301	0.477	0.000	0.301	0.301		0.477	0.000		0.301	0.000		0.301		0.000		0.000	0.477	0.000	0.000	0.000	0.301	0.000	0.301	0.301	0.000	0.301	0.477	
RPS2						0.000					0.000							0.000							0.000				0.000	0.000	0.000		0.000			0.000	0.000	0.000	0.000			0.000	0.000	0.301	
RPS20						0.000																0.000									0.000								0.000				0.301		
RPS27A	0.301	0.301		0.301	0.301	0.301	0.301	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.301	0.301	0.000	0.000	0.477	0.301	0.000	0.000	0.000	0.000	0.301	0.301	0.301	0.301	0.000	0.000	0.477	0.000	0.301	0.301	0.477	0.477	0.000	0.301	0.000	0.477	0.301	
RPS3					0.000	0.000												0.000				0.000							0.000		0.000			0.000		0.477			0.000				0.301	0.000	
RPS3A	0.000				0.000	0.000						0.000		0.000		0.000		0.000	0.000		0.000	0.000	0.000			0.000			0.301	0.000	0.301			0.000		0.000	0.000	0.000				0.000	0.477		
RPS7						0.301														0.000		0.000									0.000			0.000		0.000								0.000	
RPSA		0.000																											0.000		0.000					0.000							0.000		
S100A11	0.000	0.000	0.000	0.000	0.301	0.301	0.301	0.000	0.000			0.000			0.000			0.301	0.301		0.000	0.477	0.000					0.602	0.602	0.000	0.477	0.000		0.301		0.477	0.301	0.301	0.301	0.477	0.000		0.477	0.477	
S100A4		0.477			0.602													0.477				0.301							0.000	0.477	0.602			0.000		0.477		0.477		0.301			0.477		
S100A6	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000					0.000		0.000	0.000	0.000		0.000	0.000	0.000	0.000			0.000	0.000	0.000	0.000	0.301	0.000		0.000	0.000	0.301	0.000	0.000	0.301	0.000	0.000		0.301	0.000	
SAA4																											0.000	0.301					0.000												
SCARA3		0.477		0.301	0.477	0.000	0.000	0.477				0.000	0.477		0.000		0.477	0.000	0.301	0.000	0.000		0.477				0.301		0.000	0.301					0.301		0.000	0.477		0.000	0.301			0.000	
SCARB2	0.845	0.903	0.954	1.114	1.000	0.954	1.146	1.146	1.041	1.041	1.041	1.079	1.041	0.845	0.903	1.146	1.079	1.079	1.041	1.279	0.845	0.954	1.114	1.000	0.903	0.954	1.176	1.255	0.903	1.000	1.204	0.845	1.114	1.146	1.041	1.114	1.000	1.114	0.778	1.000	1.000	0.845	1.000	1.176	
SCG3				0.477																																									
SCN10A								0.301		0.000		0.000	0.000		0.301		0.000						0.301				0.000		0.000					0.301			0.000			0.301	0.000				
SCPEP1	0.000	0.000	0.000	0.477	0.000	0.301	0.000	0.477	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.000	0.301	0.699	0.301		0.602	0.000	0.301	0.301	0.477	0.000	0.000	0.000	0.000		0.602	0.477	0.000	0.301	0.000	0.000	0.000	0.301	0.301	0.000	0.301	0.602	
SDK1				0.602					0.000	0.000			0.477	0.000			0.000						0.477	0.301			0.301			0.301				0.000	0.000	0.000				0.000				0.000	
SEL1L	0.699	0.699	0.477	0.778	0.778	0.602	0.602	0.778	0.301	0.778	0.301	0.602	0.602	0.477	0.477	0.602	0.699	0.602	0.699	0.602	0.602	0.477	0.602	0.477	0.301	0.301	0.477	0.602	0.477	0.778	0.699	0.699	0.301	0.602	0.699	0.699	0.699	0.699	0.477	0.602	0.699	0.477	0.477	0.699	
SEL1L3	0.602	0.602	0.477	0.301	0.602	0.477	0.477	0.301	0.477	0.602	0.000	0.301	0.602	0.477	0.477	0.477	0.301	0.602	0.477	0.477	0.301	0.602	0.301	0.477	0.000	0.477	0.477	0.477	0.000	0.602	0.477	0.602	0.000	0.602	0.602	0.699	0.602	0.602	0.477	0.602	0.477	0.000	0.000	0.301	
SELENOP	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.000	0.000	0.000	0.301	0.301	0.301	0.301	0.301	0.000	0.000	0.301	0.301	0.301	0.301	0.301	
SELP								0.301				0.301				0.000																		0.000								0.000			
SEMA3C		0.000	0.000	0.000			0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000			0.301	0.000		0.000		0.000		0.000		0.000												0.000				
SEMA3F				0.000	0.000			0.000	0.000	0.301	0.000	0.000	0.000			0.000				0.000				0.000	0.000	0.000			0.000				0.000	0.000									0.000		
SEMA4B	0.301	0.301	0.301	0.477	0.301	0.000	0.000	0.477	0.301	0.477	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.000	0.000	0.000	0.301	0.301	0.301	0.477	0.301	0.301	0.000	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.477	
SEMA4C	0.301	0.301	0.000	0.301	0.301		0.301	0.000	0.000	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.000	0.301	0.301	0.000	0.000		0.000	0.301		0.301	0.301	0.301		0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.000	0.301	
SEMA4D	0.477	0.000	0.301	0.301	0.000	0.000	0.602	0.477	0.301	0.602			0.301	0.301	0.477	0.301	0.000	0.000	0.000	0.301	0.477	0.301	0.301	0.000	0.000		0.477	0.477		0.602	0.301	0.000		0.477	0.301	0.602	0.301	0.301		0.301	0.301		0.000	0.477	
SEMA5B																					0.000													0.000										0.301	
SERBP1		0.000			0.000						0.000														0.000	0.000								0.000		0.000		0.301				0.000			
SERPINA1	1.041	1.176	0.778	1.362	1.114	1.415	1.477	1.146	1.255	0.903	1.301	1.255	1.176	0.845	1.398	0.954	1.146	1.301	1.204	1.255	0.778	1.079	1.322	1.322	1.176	1.079	1.279	0.954	1.505	1.079	1.176	1.041	1.041	1.342	1.176	1.146	1.380	1.079	0.903	1.230	1.176	0.954	1.431	1.146	
SERPINA10	0.301	0.301	0.000	0.000	0.301			0.301	0.301	0.000	0.301	0.000		0.000	0.301	0.000	0.000	0.301	0.301	0.000	0.000	0.301	0.301	0.301	0.301	0.301		0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.000	0.301	0.000	0.000	0.301	0.301	0.000	
SERPINA3	1.041	0.845	1.041	1.176	1.176	1.301	1.362	1.230	1.255	1.079	1.255	1.204	1.204	1.079	1.301	1.146	1.204	1.079	1.146	1.255	1.079	0.903	1.176	1.322	1.204	1.079	1.176	1.041	1.362	0.778	1.114	1.041	1.079	1.230	1.114	1.041	1.362	0.845	0.954	1.230	1.146	1.146	1.176	1.279	
SERPINA4	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.301	0.477	0.477	0.477	0.477	0.477	0.301	0.477	0.477	0.301	0.477	0.477	0.477	0.602	0.477	0.477	0.477	0.602	0.477	0.477	0.477	0.301	0.477	0.477	0.477	0.477	0.477	0.477	0.301	0.602	0.477	0.477	0.477	0.477	
SERPINA6	0.301	0.301	0.301	0.778	0.301	0.602	0.845	0.699	0.602	0.699	0.778	0.699	0.699	0.301	0.845	0.477	0.602	0.477	0.477	0.602	0.301	0.477	0.778	0.699	0.699	0.301	0.845	0.778	0.602	0.301	0.477	0.477	0.301	0.778	0.699	0.602	0.699	0.477	0.000	0.602	0.699	0.477	0.301	0.602	
SERPINA7	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.477	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	
SERPINC1	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.477	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	
SERPIND1	0.301	0.301	0.301	0.477	0.301	0.477	0.477	0.301	0.477	0.301	0.477	0.301	0.477	0.301	0.477	0.477	0.301	0.301	0.301	0.477	0.301	0.301	0.301	0.477	0.477	0.477	0.477	0.301	0.477	0.301	0.301	0.301	0.477	0.301	0.301	0.301	0.301	0.301	0.301	0.477	0.477	0.477	0.477	0.301	
SERPINF2	0.477			0.000	0.301	0.602	0.602	0.602	0.301	0.000	0.602	0.602	0.477	0.000	0.699	0.301	0.301	0.602	0.477	0.301	0.477		0.699	0.477	0.301	0.000	0.000		0.778	0.000	0.000	0.301	0.301	0.699	0.477	0.477	0.602			0.699	0.477	0.301	0.000	0.301	
SERPING1	0.699	0.602	0.602	0.845	0.699	0.845	0.903	0.778	0.778	0.845	0.845	0.845	0.845	0.845	0.903	0.845	0.778	0.845	0.845	0.903	0.699	0.602	0.845	0.903	0.699	0.699	0.954	0.699	0.845	0.602	0.699	0.477	0.845	0.903	0.778	0.778	0.845	0.699	0.301	0.845	0.778	0.845	0.845	0.903	
SERPINH1	0.000	0.477	0.000	0.000	0.602	0.477	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.602	0.000	0.000	0.000	0.778	0.000	0.000	0.000	0.301	0.000	0.000	0.477	0.602	0.602	0.000	0.301	0.602	0.301	0.477	0.477	0.301	0.477	0.477	0.000	0.301	0.778	0.477	
SET	0.000	0.000		0.000	0.301	0.000	0.000								0.000			0.477				0.301	0.000					0.000	0.000	0.301	0.477	0.000		0.477		0.301	0.477	0.301	0.301	0.000			0.477	0.301	
SEZ6L2			0.000	0.477			0.000	0.000			0.000	0.000	0.000	0.000		0.000	0.000	0.000		0.000	0.000		0.000		0.000	0.000	0.000			0.000		0.000	0.000	0.000		0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.301	
SFRP4	0.301	0.301	0.602	0.301	0.301	0.301	0.477	0.477	0.301	0.602	0.301	0.477	0.602	0.602	0.301	0.477	0.477	0.301	0.301	0.301	0.477	0.301	0.000	0.699	0.301	0.477	0.000	0.477	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.477	0.477	0.477	0.000	0.477	
SGSH				0.301		0.000	0.301	0.301	0.000	0.301	0.301	0.301	0.301		0.000		0.301			0.477			0.301	0.000	0.000	0.301	0.477						0.000	0.000				0.000		0.301	0.301	0.301		0.301	
SIAE	0.699	0.778	0.778	0.699	0.778	0.477	0.699	0.778	0.477	0.845	0.699	0.477	0.602	0.699	0.845	0.602	0.699	0.778	0.477	0.477	0.602	0.000	0.477	0.778	0.778	0.477	0.903	0.602	0.477	0.845	0.845	0.000	0.778	0.845	0.477	0.602	0.699	0.778	0.301	0.845	0.477	0.699	0.477	0.845	
SIDT2	0.301	0.000	0.301	0.000	0.301	0.301	0.000	0.000	0.301	0.301	0.301	0.000	0.301	0.301	0.000	0.301	0.000	0.477	0.301	0.301	0.301	0.000	0.000	0.000	0.000	0.301	0.000	0.301	0.301	0.301	0.301		0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.000	0.000	
SIGLEC1	0.477	0.477	0.301	0.602	0.301	0.602	0.477	0.602	0.301	0.602	0.699	0.602	0.477	0.477	0.000	0.477	0.477	0.000	0.301	0.477	0.477	0.477	0.602	0.301	0.301	0.000	0.602	0.301	0.301	0.000	0.301	0.000	0.602	0.602	0.602	0.602	0.602	0.477	0.000	0.602	0.477	0.301	0.477	0.699	
