Gene	01_CPTAC_COprospective_Proteome_VU_20150901	02_CPTAC_COprospective_Proteome_VU_20150904	03_CPTAC_COprospective_Proteome_VU_20150915	04_CPTAC_COprospective_Proteome_VU_20150915	05_CPTAC_COprospective_Proteome_VU_20150915	06_CPTAC_COprospective_Proteome_VU_20150915	07_CPTAC_COprospective_Proteome_VU_20150915	08_CPTAC_COprospective_Proteome_VU_20150928	09_CPTAC_COprospective_Proteome_VU_20150928	100_CPTAC_COprospective_Proteome_VU_20160806	101_CPTAC_COprospective_Proteome_VU_20160806	102_CPTAC_COprospective_Proteome_VU_20160806	103_CPTAC_COprospective_Proteome_VU_20160808	10_CPTAC_COprospective_Proteome_VU_20151002	11_CPTAC_COprospective_Proteome_VU_20151002	12_CPTAC_COprospective_Proteome_VU_20151016	13_CPTAC_COprospective_Proteome_VU_20151030	14_CPTAC_COprospective_Proteome_VU_20151030	15_CPTAC_COprospective_Proteome_VU_20151102	16_CPTAC_COprospective_Proteome_VU_20151102	17_CPTAC_COprospective_Proteome_VU_20151105	18_CPTAC_COprospective_Proteome_VU_20151105	19_CPTAC_COprospective_Proteome_VU_20151112	20_CPTAC_COprospective_Proteome_VU_20151112	21_CPTAC_COprospective_Proteome_VU_20151112	22_CPTAC_COprospective_Proteome_VU_20150202	23_CPTAC_COprospective_Proteome_VU_20150215	24_CPTAC_COprospective_Proteome_VU_20150215	25_CPTAC_COprospective_Proteome_VU_20160726	26_CPTAC_COprospective_Proteome_VU_20150810	27_CPTAC_COprospective_Proteome_VU_20150810	28_CPTAC_COprospective_Proteome_VU_20150810	29_CPTAC_COprospective_Proteome_VU_20150810	30_CPTAC_COprospective_Proteome_VU_20150810	31_CPTAC_COprospective_Proteome_VU_20150810	32_CPTAC_COprospective_Proteome_VU_20150818	33_CPTAC_COprospective_Proteome_VU_20150818	34_CPTAC_COprospective_Proteome_VU_20150824	35_CPTAC_COprospective_Proteome_VU_20150901	36_CPTAC_COprospective_Proteome_VU_20150824	37_CPTAC_COprospective_Proteome_VU_20150904	38_CPTAC_COprospective_Proteome_VU_20150904	39_CPTAC_COprospective_Proteome_VU_20150909	40_CPTAC_COprospective_Proteome_VU_20150909	41_CPTAC_COprospective_Proteome_VU_20151124	42_CPTAC_COprospective_Proteome_VU_20151124	43_CPTAC_COprospective_Proteome_VU_20151130	44_CPTAC_COprospective_Proteome_VU_20151202	45_CPTAC_COprospective_Proteome_VU_20151202	46_CPTAC_COprospective_Proteome_VU_20151209	47_CPTAC_COprospective_Proteome_VU_20151209	48_CPTAC_COprospective_Proteome_VU_20151209	49_CPTAC_COprospective_Proteome_VU_20151222	50_CPTAC_COprospective_Proteome_VU_20151222	51_CPTAC_COprospective_Proteome_VU_20160215	52_CPTAC_COprospective_Proteome_VU_20160223	53_CPTAC_COprospective_Proteome_VU_20160226	54_CPTAC_COprospective_Proteome_VU_20160226	55_CPTAC_COprospective_Proteome_VU_20160630	56_CPTAC_COprospective_Proteome_VU_20160303	57_CPTAC_COprospective_Proteome_VU_20160317	58_CPTAC_COprospective_Proteome_VU_20160318	59_CPTAC_COprospective_Proteome_VU_20160308	60_CPTAC_COprospective_Proteome_VU_20160311	61_CPTAC_COprospective_Proteome_VU_20160707	62_CPTAC_COprospective_Proteome_VU_20160311	63_CPTAC_COprospective_Proteome_VU_20160316	64_CPTAC_COprospective_Proteome_VU_20160318	65_CPTAC_COprospective_Proteome_VU_20160322	66_CPTAC_COprospective_Proteome_VU_20160323	67_CPTAC_COprospective_Proteome_VU_20160324	68_CPTAC_COprospective_Proteome_VU_20160406	69_CPTAC_COprospective_Proteome_VU_20160407	70_CPTAC_COprospective_Proteome_VU_20160421	71_CPTAC_COprospective_Proteome_VU_20160414	72_CPTAC_COprospective_Proteome_VU_20160422	73_CPTAC_COprospective_Proteome_VU_20160422	74_CPTAC_COprospective_Proteome_VU_20160422	75_CPTAC_COprospective_Proteome_VU_20160502	76_CPTAC_COprospective_Proteome_VU_20160502	77_CPTAC_COprospective_Proteome_VU_20160504	78_CPTAC_COprospective_Proteome_VU_20160915	79_CPTAC_COprospective_Proteome_VU_20160510	80_CPTAC_COprospective_Proteome_VU_20160517	81_CPTAC_COprospective_Proteome_VU_20160915	82_CPTAC_COprospective_Proteome_VU_20160520	83_CPTAC_COprospective_Proteome_VU_20160524	84_CPTAC_COprospective_Proteome_VU_20160524	85_CPTAC_COprospective_Proteome_VU_20160630	86_CPTAC_COprospective_Proteome_VU_20160628	87_CPTAC_COprospective_Proteome_VU_20160701	88_CPTAC_COprospective_Proteome_VU_20160705	89_CPTAC_COprospective_Proteome_VU_20160707	90_CPTAC_COprospective_Proteome_VU_20160728	92_CPTAC_COprospective_Proteome_VU_20160728	93_CPTAC_COprospective_Proteome_VU_20160729	94_CPTAC_COprospective_Proteome_VU_20160729	97_CPTAC_COprospective_Proteome_VU_20160801	98_CPTAC_COprospective_Proteome_VU_20160804	99_CPTAC_COprospective_Proteome_VU_20160801
MYCBP		0.000	0.000	0.000	0.000		0.000		0.000		0.000	0.000	0.000	0.301			0.301		0.000	0.000	0.000	0.477	0.000		0.000	0.000		0.000	0.000	0.000	0.000				0.000	0.000	0.000	0.000	0.000							0.000	0.301	0.477	0.301	0.000		0.000	0.000	0.477	0.000	0.000	0.000	0.000		0.301			0.000		0.477						0.000	0.000		0.000				0.000	0.000		0.301		0.000		0.301	0.000		0.000		0.000	0.301	0.602	0.000	0.301		0.000	0.301			0.000	
MYCBP2	0.000			0.301	0.301	0.000			0.301					0.301					0.000			0.000		0.000		0.000		0.000		0.000	0.000	0.301			0.301	0.477	0.000		0.301					0.301	0.000	0.699		0.477	0.000		0.301	0.301	0.301	0.602	0.000	0.477	0.301	0.000		0.301	0.000	0.000			0.301			0.000	0.000		0.000				0.000														0.000	0.301	0.000	0.699		0.000		0.301					
MYD88	0.000	0.000		0.301	0.301	0.000	0.301	0.000	0.000					0.000					0.000					0.000					0.301		0.000		0.301		0.301	0.477	0.000	0.000	0.000						0.000	0.602	0.301	0.477	0.477	0.301	0.000	0.301	0.000	0.000				0.000		0.301									0.477			0.000	0.000												0.000				0.000	0.477	0.477	0.000	0.000	0.000							
MYDGF	0.301	0.301	0.000	0.000	0.477	0.000	0.301	0.000	0.778	0.000	0.000	0.000	0.000	0.602	0.301	0.477	0.301	0.301	0.301	0.301	0.000	0.301	0.000		0.000	0.301	0.000	0.301	0.301	0.000		0.301	0.301	0.477	0.477	0.699	0.301	0.000	0.301	0.000	0.000				0.000	0.000		0.000	0.477	0.000	0.301	0.000	0.301	0.000	0.000	0.301	0.301	0.000	0.301	0.477	0.301	0.000	0.301	0.301	0.699	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.477			0.477	0.301	0.000						0.000	0.000	0.301	0.000	0.301	0.602	0.301	0.477	0.301	0.000	0.602	0.301	0.301	0.000	0.000	0.000	0.000	
MYEF2																			0.000				0.000	0.000														0.000	0.477															0.000										0.000					0.000																					0.000							0.000				
MYH1					0.602				0.000																							0.000	0.000		0.000		0.000				0.000					0.000									0.000				0.000								0.000							0.000															0.000		0.000	0.000		0.000		0.000					
MYH10	1.279	0.000	1.301	0.699	0.477	1.114	0.699	1.000	0.301	0.845	1.230	0.778	0.954	0.954	0.903	1.255	1.114	0.845	0.845	0.903	1.255	0.903	0.699	1.079	0.954	1.000	0.301	0.778	1.431	0.954	0.778	1.477	1.591	0.845	1.342	1.114	1.279	0.903	0.903	1.176	1.041		0.845	0.477	1.114	1.431	1.176	1.431	1.322	1.431	1.204	1.462	1.415	1.301	1.431	1.681	1.255	1.204	1.041	1.431	1.176	1.491	1.079	1.447	1.301	1.176	1.322	1.000	1.519	1.301	1.362	1.041	1.279	1.000	0.477	0.954	1.415	1.255	1.362	1.079	1.568	0.954	0.954	1.398	1.114	1.531	0.778	1.447	1.322	1.491	1.415	1.431	1.398	1.322	1.204	1.279	1.146	1.398	1.255	0.699	
MYH11	1.934	1.431	1.623	1.591	0.477	1.886	1.602	1.839	1.556	1.934	1.519	0.602	1.531	1.833	1.556	2.041	1.833	1.892	1.740	1.643	1.544	1.806	1.380	1.929	2.111	1.851	1.398	1.740	1.544	1.771	1.643	1.851	2.053	1.519	1.833	1.732	2.265	2.236	2.170	1.591	1.826	1.708	1.398	0.778	2.196	2.130	1.568	1.716	2.146	1.690	1.820	2.137	2.045	2.114	2.243	1.845	2.009	2.179	2.086	1.724	2.045	2.107	2.143	1.924	2.025	1.643	2.076	1.964	1.785	2.064	2.100	1.968	2.017	2.246	1.322	1.505	1.255	1.813	1.602	2.090	1.613	1.959	1.531	1.079	2.143	1.851	1.431	1.792	2.190	1.763	1.799	1.792	2.173	1.826	1.929	1.732	1.919	1.398	1.431	1.892	
MYH14	1.672	1.580	1.568	1.176	0.699	1.748	1.415	1.519	1.748	1.462	1.505	1.362	1.415	1.851	1.342	1.415	1.633	1.519	1.519	1.505	1.544	1.556	1.556	1.505	1.415	1.681	1.663	1.653	1.633	1.833	1.740	1.591	1.477	1.716	1.591	1.740	1.633	1.342	1.826	1.623	1.556	1.176	1.544	1.568	1.362	1.826	1.643	1.806	1.826	1.699	1.672	1.653	1.690	1.778	1.556	1.653	1.681	1.778	1.568	1.881	1.556	1.431	1.778	1.431	1.799	1.462	1.748	1.580	1.732	1.519	1.708	1.477	1.491	0.903	1.591	1.114	1.146	1.146	1.708	1.740	1.519	1.519	1.681	1.580	1.806	1.519	1.681	1.519	1.613	1.748	1.919	1.863	1.663	1.580	1.398	1.591	1.690	1.491	1.431	1.519	
MYH3		0.000	0.000		0.000		0.000									0.000	0.000				0.000	0.000													0.000		0.000	0.000		0.000							0.000									0.000	0.000	0.000				0.000			0.000	0.301	0.000	0.000			0.000	0.000		0.000	0.000					0.000			0.000		0.000			0.000			0.000		0.000	0.000							
MYH7B	0.000					0.000	0.000	0.000	0.000					0.000			0.000	0.000				0.000		0.000	0.000	0.000							0.000			0.000	0.000	0.000	0.000	0.000					0.477	0.000			0.000	0.000	0.000	0.000		0.000	0.301	0.000	0.000	0.000	0.301		0.000	0.301	0.000		0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301		0.000																	0.301		0.000		0.000				
MYH9	1.908	1.806	1.881	1.833	1.799	1.851	1.813	1.826	1.839	1.732	1.771	1.633	1.633	1.875	1.820	1.820	1.799	1.748	1.748	1.799	1.756	1.740	1.748	1.792	1.716	1.924	1.732	1.845	1.982	1.973	1.892	2.083	2.025	1.929	1.892	1.934	1.919	1.799	1.914	1.881	1.914	1.663	1.732	1.724	1.813	2.021	2.104	2.004	2.025	1.978	1.881	2.021	2.079	1.949	1.949	2.090	1.954	1.996	1.756	2.025	1.875	1.875	1.944	1.964	1.914	2.009	1.959	1.857	2.009	1.914	1.959	1.881	1.903	1.699	1.845	1.881	1.898	1.792	1.987	1.898	1.940	1.778	1.934	1.959	1.857	1.924	1.924	1.892	1.934	1.996	2.037	2.100	1.919	1.898	1.771	1.892	1.857	1.820	1.806	1.771	
MYL12A	0.699	0.301	0.477	0.699	0.000	0.477	0.699	0.699	0.602	0.301	0.602	0.477	0.301	0.602	0.477	0.699	0.699	0.602	0.602	0.699	0.602	0.602	0.602	0.602	0.602	0.699	0.477	0.477	0.602	0.602	0.301	0.301	0.477	0.477	0.477	0.602	0.699	0.699	0.602	0.602	0.477	0.477	0.301	0.477	0.602	0.699	0.699	0.699	0.699	0.602	0.602	0.602	0.778	0.602	0.602	0.778	0.602	0.602	0.477	0.477	0.602	0.699	0.699	0.477	0.301	0.301	0.602	0.602	0.602	0.699	0.699	0.301	0.602	0.301	0.602	0.477	0.301	0.602	0.602	0.602	0.477	0.699	0.699	0.477	0.602	0.778	0.699	0.602	0.699	0.602	0.699	0.699	0.699	0.477	0.477	0.602	0.477	0.301	0.477	0.602	
MYL6	0.778	0.477	0.699	0.699	0.477	0.699	0.699	0.699	0.778	0.699	0.602	0.602	0.699	0.845	0.778	0.903	0.699	0.602	0.699	0.699	0.699	0.699	0.699	0.699	0.903	0.778	0.699	0.778	0.699	0.778	0.778	0.778	0.845	0.699	0.778	0.778	0.778	0.778	0.778	0.602	0.778	0.699	0.699	0.602	0.903	0.845	0.778	0.845	0.954	0.778	0.699	0.903	0.699	0.699	0.954	0.699	0.845	0.903	0.845	0.778	0.699	0.845	0.845	0.845	0.699	0.778	0.845	0.699	0.699	0.778	0.778	0.778	0.778	0.845	0.699	0.778	0.699	0.778	0.699	0.778	0.602	0.602	0.602	0.699	0.778	0.699	0.602	0.778	0.778	0.699	0.845	0.778	0.778	0.778	0.602	0.699	0.778	0.699	0.602	0.699	
MYL6B	0.000		0.000			0.000		0.000					0.000			0.000								0.000						0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000		0.000					0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000		0.000	0.000	0.000	0.000			0.000	0.000	0.000	0.000	0.000	0.000					0.000	0.000		0.000	0.301	0.301	0.000	0.000	0.000		0.000	0.000		0.000	0.000				0.000	0.000	0.000	0.000	0.000			
MYL9	0.477	0.000	0.301	0.301	0.000	0.301		0.301	0.301	0.301	0.301	0.000	0.000	0.477	0.477	0.602	0.301	0.301	0.000	0.000	0.000	0.301		0.301	0.699	0.477	0.301	0.000	0.301	0.301	0.000	0.602	0.301	0.000	0.301	0.301	0.602	0.699	0.477	0.301	0.301	0.000	0.000	0.000	0.845	0.602	0.301	0.000	0.602	0.301	0.301	0.602	0.602	0.602	0.778	0.477	0.477	0.778	0.778	0.000	0.477	0.602	0.477	0.301	0.477	0.301	0.477	0.301	0.301	0.477	0.477	0.301	0.301	0.845		0.301	0.301	0.301	0.477	0.602	0.477	0.301	0.301	0.301	0.602	0.301		0.301	0.845	0.602	0.602	0.477	0.602	0.477	0.477	0.301	0.477	0.000	0.477	0.477	
MYLK	1.114		0.778	0.301	0.000	1.000	0.778	0.845	0.301	1.230	0.602	0.000	0.602	0.954	0.602	1.204	0.699	1.114	0.954	0.778	0.699	1.041		1.176	1.519	0.954		0.477	0.699	0.903	0.903	0.903	1.301	0.845	1.114	0.903	1.531	1.568	1.556	0.602	0.903	0.477		0.000	1.556	1.477		0.903	1.398	0.699	1.000	1.398	1.204	1.398	1.447	1.000	1.230	1.431	1.398	0.699	1.301	1.380	1.362	0.778	1.431	0.602	1.114	1.041	1.000	1.279	1.301	1.000	1.146	1.447	0.000	0.301		0.845	0.602	1.255	0.602	0.778	0.000	0.602	1.301	0.954		1.079	1.580	0.903	0.778	0.778	1.505	0.903	1.146	0.778	1.000	0.845	0.301	0.954	
MYO10								0.000			0.000																																	0.000			0.000		0.000				0.000	0.000		0.000										0.000																												0.000							
MYO15B	0.000					0.602		0.903	0.000	0.000	0.301	0.000	0.000	0.477		0.000	0.000	0.000	0.602	0.301	0.000	0.602	0.301			0.301	0.000	0.301	0.602	0.954	0.699	0.301	0.000	0.301	0.301	0.699	0.301		0.477		0.699					1.041		0.845		0.477	0.778	0.000		0.778		0.477		0.000	0.301	0.602	0.000		0.602		0.477				0.778			0.301			0.602								0.000						0.000	0.000	0.954	0.699	0.301	0.301	0.000	0.602	0.699		0.301	0.477	
MYO18A	1.146	0.954	0.602	0.778	0.301	0.778	0.845	1.000	0.778	0.477	0.602	0.301	0.477	1.342	0.477	0.301	1.114	0.602	0.845	0.477	0.477	0.602	0.301	0.778	0.301	0.903	1.041	0.954	0.699	0.903	0.845	0.954	1.146	0.699	0.903	1.176	0.778	0.000	0.699	0.000	0.477	0.602	0.602	0.699	0.699	0.845	1.362	1.230	0.954	0.778	1.146	1.204	1.146	1.041	0.778	1.146	0.477	0.845	0.602	1.041	0.000	0.602	0.778	0.477	1.000	0.778	0.477	0.602	0.602	0.699	0.903	0.699	0.477		0.699	0.954	0.778	0.477	0.602	0.477	0.699	0.477	0.699	0.301	0.602	0.000	0.778	0.602	0.602	0.845	1.230	1.041	0.845	0.778	0.699	0.699	0.845	0.000	0.301		
MYO19											0.000						0.000										0.000									0.301											0.000	0.477						0.000																													0.000								0.301								0.000		
MYO1A	0.602	0.699	0.301			0.778	0.778	0.477	0.845		0.845		0.000	0.903		0.000	0.778	0.000	0.000	0.699	0.954	0.000				0.000		0.845	0.778	1.079	0.954	0.477	0.778	1.041	0.477	0.699	0.903	0.602	0.845	0.778				0.477	0.602	1.041		1.230	0.602	0.000	0.477	0.602	0.699	0.301			0.000	0.903	0.778	0.845	0.000	0.301	0.602	0.000	0.778		0.301	0.477	0.477		0.000	0.602	0.000		0.845				0.000	0.000		0.000			0.301		0.000		0.602	0.477	0.699	0.954	0.301		0.903	0.301	0.301		0.301	0.000	
MYO1B	1.255	0.954	1.079	1.000	1.041	1.114	1.079	1.146	1.398	0.954	1.000	0.845	0.602	1.230	0.903	0.845	1.114	0.778	1.146	1.114	0.954	1.079	0.845	0.845	1.000	1.079	0.845	1.000	1.176	1.000	1.255	1.322	0.954	1.204	1.079	1.342	0.954	0.954	1.176	0.903	0.903	0.301	0.778	1.114	0.845	0.954	1.342	1.322	1.114	1.079	1.204	1.279	1.230	1.000	0.845	1.041	1.000	0.954	0.903	1.146	0.954	0.903	1.000	0.778	1.255	1.079	0.477	1.079	1.342	0.954	1.079	0.602	0.903	0.301	0.778	1.114	0.903	0.699	0.778	0.954	0.845	0.845	0.903	0.602	0.954	0.301	0.602	0.903	1.079	1.204	1.301	1.204	1.204	0.903	0.845	1.000	1.000	0.954	1.114	0.954	
MYO1C	1.505	1.279	1.342	1.301	1.431	1.431	1.342	1.462	1.342	1.279	1.255	1.146	1.041	1.398	1.301	1.362	1.415	1.322	1.322	1.362	1.114	1.380	1.176	1.398	1.462	1.447	1.079	1.301	1.362	1.491	1.362	1.544	1.447	1.322	1.505	1.431	1.633	1.556	1.519	1.342	1.204	0.903	1.146	1.342	1.462	1.602	1.362	1.415	1.633	1.255	1.415	1.447	1.519	1.447	1.519	1.398	1.301	1.279	1.462	1.230	1.415	1.491	1.415	1.279	1.519	1.279	1.342	1.279	1.398	1.380	1.301	1.255	1.362	1.398	1.322	1.255	1.322	1.415	1.146	1.362	1.342	1.230	1.114	1.204	1.322	1.176	1.041	1.398	1.568	1.415	1.342	1.342	1.519	1.362	1.362	1.322	1.342	1.176	1.146	1.255	
MYO1D	1.398	1.301	1.322	1.380	1.000	1.255	1.255	1.362	1.491	0.954	1.342	0.954	1.114	1.519	1.301	1.079	1.431	1.301	1.279	1.322	1.398	1.279	1.398	1.362	1.279	1.477	1.531	1.447	1.279	1.531	1.415	1.580	1.279	1.447	1.398	1.591	1.431	1.176	1.342	1.041	1.146	1.041	1.146	1.176	1.301	1.415	1.447	1.591	1.556	1.279	1.342	1.398	1.531	1.431	1.398	1.380	1.380	1.431	1.398	1.491	1.342	1.079	1.255	1.204	1.519	1.146	1.204	1.230	1.415	1.041	1.279	1.204	0.954	0.699	1.204	1.114	1.114	1.146	1.146	1.146	1.279	1.176	1.114	1.362	1.230	1.204	1.204	1.380	1.255	1.255	1.431	1.531	1.279	1.114	1.204	1.146	1.230	1.079	1.279	1.176	
MYO1E	0.778	0.699	0.602	0.903		0.699	0.778	0.778	0.903	0.699	0.602	0.477	0.301	0.778	0.477	0.699	0.845	0.699	0.301	0.699	0.602	0.602	0.845	0.954	0.301	0.954	0.000	0.903	0.903	0.845	0.778	1.079	0.602	1.041	0.301	1.000	0.477	0.301	0.778	0.602	0.477	0.000		0.602	0.000	0.903	1.114	0.903	1.204	0.778	0.477	1.000	0.954	0.903	0.602	0.845	0.602	0.903	0.301	0.301	0.477	0.301	0.301	0.699	0.699	0.602	0.000	0.477	0.477	0.301	0.477	0.602	0.602		0.477	0.477	0.477	0.301	0.602	0.699	0.699	0.000	0.602	0.903	0.477		0.477	0.699	0.699	0.954	1.079	0.954	0.699	0.778	0.602	0.778	0.845	0.602	0.699	0.699	
MYO1F	0.778	0.000	0.000	0.602	0.000	0.301	0.477	0.477	0.477	0.301	0.477	0.602	0.301	0.602	0.301	0.000	0.000		0.301	0.301	0.000	0.000	0.477	0.477	0.477	0.301	0.301	0.301	1.176	0.845	0.301	0.954	0.778		0.845	0.699	0.699	0.301		0.301	0.477	0.000	0.000	0.000	0.699	0.602	1.000	0.778	0.699	0.477	0.602	0.845	0.903	0.301	0.778	0.845	0.477	0.301	0.477	0.301	0.000	0.699	0.301	0.301	0.602	0.778	0.000	0.602	0.477	0.699	0.301	0.301	0.903	0.000	0.602	0.903	0.477	0.477	0.602		0.602	0.000	0.301	0.778	0.000	0.301	0.000	0.477	0.602	0.845	0.477	1.041	0.602	0.903	0.778	0.778	0.602	0.602	0.477	0.301	
MYO1G	0.903		0.000	0.699		0.477	0.845	0.778	0.477	0.000	0.602	0.602		1.041	0.477	0.477	0.000		0.000	0.602	0.000	0.000	0.301	0.301	0.301	0.301		0.477	1.079	0.602	0.477	0.903	0.477		0.699	0.477	0.778		0.000	0.477	0.301	0.477		0.000	0.845	0.477	0.845		0.602	0.000	0.477	0.954	0.954	0.602	0.301	0.699	0.000	0.000	0.000	0.301	0.000	0.301			0.602	0.954		0.000	0.301	0.301		0.000	0.301		0.477	0.477	0.477		0.000		0.477	0.000		0.000		0.000		0.000	0.301	0.845	0.778	1.114	0.301	0.954	0.301	0.954	0.602	0.477	0.477	0.000	
MYO5A	0.477		0.301		0.778	0.000	0.301			0.000	0.000			0.000		0.301			0.301	0.000		0.000		0.000					0.000	0.000		0.301	0.000				0.000		0.000	0.301					0.301	0.000	0.000		0.000	0.301		0.477	0.000	0.000	0.000	0.477	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000			0.000	0.000	0.000	0.477	0.000		0.699	0.301	0.000	0.301	0.000	0.000			0.000					0.000	0.000	0.000	0.602		0.477			0.301				
MYO5B	0.954	0.778	0.602	0.602		0.602	0.699	0.699	0.903	0.000	0.477	0.301		1.114	0.699	0.000	0.699	0.000	0.602	0.699	0.000	0.000	0.778	0.301	0.477	0.000	0.954	0.845	0.845	1.255	0.954	1.146	0.602	0.778	0.778	0.903	0.778	0.477	1.079	0.477				0.000		0.477	1.114	0.778	1.041	0.301	0.477	0.845	1.079	0.602	0.301		0.301	0.778	0.000	0.699	0.602	0.477	0.477	0.301	0.903	0.602	0.301	0.699	0.845	0.301	0.602	0.000	0.000	0.000	0.301	0.602	0.301	0.477	0.477	0.301	0.778		0.301	0.477	0.845	0.000	0.477	0.301	0.477	0.954	1.146	1.079	0.602	0.477	0.301	0.602	0.778	0.301	0.699	0.602	
MYO5C	0.903	0.602	0.000	0.301			0.000	0.000	0.699			0.000		0.301	0.000	0.000	0.477		0.000	0.477						0.000	0.000	0.301	0.000	0.477	0.477	0.602	0.000	0.301	0.301	0.301		0.477		0.000	0.000			0.301	0.301	0.301	0.699	0.301	0.301	0.301		0.301	0.778	0.000				0.000	0.301	0.301			0.301			0.477	0.301		0.477	0.000		0.000	0.000	0.000	0.602	0.000		0.000							0.000				0.000	0.000	0.477	0.301				0.000			0.000	0.000	
MYO6	1.301	1.114	1.000	1.041	1.079	1.322	0.903	0.778	1.415	1.041	0.699	0.602	0.845	1.041	0.778	0.699	1.301	1.000	0.602	0.699	1.041	0.954	0.903	1.000	0.301	0.699	0.699	1.176	1.322	1.204	1.204	1.301	1.041	1.301	1.041	1.279	0.903	1.041	1.041	0.602	0.602		0.778	1.255	0.699	1.519	1.322	1.380	1.322	1.301	1.279	1.230	1.415	1.204	0.903	1.301	1.176	0.954	0.903	1.176	1.079	0.699	1.000	0.845	1.204	0.778	1.146	0.903	1.301	0.778	1.041	0.845	0.778	0.000	1.041	1.204	0.301	0.477	1.041	0.845	0.477	0.954	1.041	0.903	1.041	0.301	1.000	0.699	1.079	1.342	1.342	1.146	1.114	1.114	0.301	1.041	0.954	0.845	0.602	0.954	
MYO7B	0.301	0.778	0.477			0.477	0.000	0.000	0.778				0.000	0.845	0.000	0.000	0.845		0.301	0.477	0.000	0.301	0.477	0.301		0.301	0.000	0.845	0.778	0.477	0.301	0.778	0.903	1.000	0.000	1.079	0.000		1.114	0.000			0.301	0.602	0.000	0.903	1.079	1.176	0.301	0.699	1.041	0.699	1.114	0.778	0.301	0.301		0.477	0.602	0.602	0.602	0.000			0.778		0.000		0.301		0.477	0.301	0.000	0.000	0.903		0.000					0.000			0.000				0.477	0.000	1.000			0.301	0.000		0.301	0.000			
MYO9B	0.845				0.477	0.477	0.301	0.477	0.778	0.301	0.301	0.000	0.000	0.477	0.000	0.301					0.301	0.000	0.000	0.000	0.000	0.602	0.000	0.000	0.602	0.477		0.903	0.301	0.301	0.602	0.845	0.301		0.477	0.000	0.000	0.000	0.301	0.000	0.477	0.602	0.000	0.778	0.477		0.602	0.778	0.699	0.699	0.301	1.000	0.477	0.699		0.000		0.602	0.477	0.477	0.477	0.602	0.000	0.301	0.699	0.301	0.301	0.000	0.000			0.602	0.477											0.602	0.477	0.000	0.602	0.602	0.477	0.778	0.301	0.301	0.602	0.301	0.477	0.301	
MYOF	1.732	1.230	1.230	1.462	1.708	1.079	1.568	1.431	1.568	1.301	1.342	1.114	0.903	1.415	1.342	1.580	1.431	1.342	1.362	1.176	1.398	1.342	1.000	1.556	1.447	1.633	1.000	1.415	1.591	1.230	1.301	1.813	1.672	1.544	1.633	1.556	1.613	1.431	1.415	1.398	0.954	0.602	0.699	1.000	1.505	1.756	1.580	1.613	1.663	1.447	1.602	1.699	1.653	1.602	1.580	1.681	1.544	1.415	1.362	1.279	1.255	1.447	1.362	1.380	1.544	1.519	1.398	1.146	1.255	1.491	1.204	1.204	1.342	1.000	1.079	1.806	1.322	1.491	1.176	1.204	1.519	0.954	1.000	1.255	1.380	1.362	1.079	1.568	1.740	1.591	1.531	1.544	1.447	1.447	1.362	1.398	1.477	1.415	1.447	1.255	
MZB1	0.845	0.477	0.602	0.845	0.301	0.301	0.903	0.477	0.845	0.301	0.000	0.602	0.000	0.903	0.699	0.602	0.699	0.602	0.301	0.778	0.477	0.477		0.000	0.000	0.301	0.477	0.602		0.845	0.477	0.000	0.699	0.301	0.000	0.778	0.000	0.301		0.602	0.602	0.301	0.301	0.000	0.602	0.301			0.301		0.699	0.477	0.602		0.301	0.602	0.699	0.000	0.477	0.301		0.301	0.301	0.301	0.477	0.602		0.602	0.477		0.000		0.301	0.000	0.000	0.000	0.602		0.301	0.301	0.301		0.301			0.602	0.477	0.602	0.477	0.477	0.699	0.602	0.301	0.903	0.699	0.477	0.602		0.301	0.477	
NAA10	0.000	0.000		0.000	0.000	0.301	0.301	0.301	0.301				0.000	0.301	0.000	0.000	0.301		0.301	0.000	0.000	0.000	0.301		0.000	0.301	0.000		0.477	0.000	0.301	0.000	0.000	0.000	0.000	0.000			0.301	0.000	0.301	0.000	0.000	0.000	0.000	0.477		0.301	0.301	0.301	0.477	0.301	0.301	0.301		0.301		0.301			0.000				0.000	0.000	0.000	0.000								0.000						0.000	0.000						0.301	0.301	0.000	0.000		0.000	0.000	0.477	0.301	0.000			
NAA15	0.778	0.699	0.845	0.778	0.954	0.778	0.699	0.903	1.000	0.699	0.845	0.301	0.301	1.000	0.699	0.301	0.903	0.301	0.699	0.903	0.778	1.079	1.079	0.845	0.477	0.778	0.778	0.903	0.845	0.954	1.000	1.114	0.845	0.903	1.079	1.000	0.602	0.477	0.845	0.301	0.845		0.000	0.602	0.699	1.114	0.845	0.954	1.041	1.000	0.954	1.041	1.079	0.903	0.778	1.079	0.903	1.079	0.000	0.954	0.477	0.000	0.845	0.699	1.000	1.041	0.602	1.041	1.041		0.954	0.845	0.602		0.602	0.845	0.699	0.301	0.845	0.903	0.301	0.477	0.477	0.301	0.903	0.301	0.845	0.602	0.602	1.000	1.230	1.000	0.903	0.699	0.000	0.845	0.602	0.699	0.477	1.079	
